Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
201902,ACCT 2101,Ryan Blunck,A,68,3.42,58.8,23.5,5.9,4.4,1.5,1.5,0.0,0.0,0.0,4.4,0.0,40.0,16.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
201902,ACCT 2101,Arnold Schneider,C,38,2.71,39.5,15.8,15.8,13.2,7.9,0.0,0.0,0.0,0.0,7.9,0.0,15.0,6.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
201902,ACCT 2101,Arnold Schneider,D,68,2.89,29.4,22.1,19.1,2.9,4.4,1.5,1.5,0.0,0.0,19.1,0.0,20.0,15.0,13.0,2.0,3.0,1.0,1.0,0.0,0.0,13.0,0.0
201902,ACCT 2101,Deborah Turner,E,70,3.55,67.1,20.0,10.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,47.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201902,ACCT 2101,Deborah Turner,F,65,3.44,58.5,24.6,12.3,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,38.0,16.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
201902,ACCT 2102,Harold Covert,A,71,3.29,43.7,39.4,15.5,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,31.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201902,ACCT 2102,Xi Kuang,B,70,3.18,42.9,30.0,18.6,1.4,1.4,1.4,0.0,0.0,0.0,4.3,0.0,30.0,21.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
201902,ACCT 2102,Xi Kuang,C,45,3.10,40.0,20.0,22.2,4.4,0.0,0.0,0.0,0.0,0.0,13.3,0.0,18.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
201902,AE 1355,Carl Johnson,MAV,10,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201902,AE 1601,Narayanan Komerath,C,36,3.46,61.1,25.0,8.3,0.0,2.8,0.0,0.0,0.0,0.0,2.8,0.0,22.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
201902,AE 1601,Stephen Ruffin,B,48,3.81,87.5,10.4,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201902,AE 1601,Mitchell Walker,A,48,3.78,79.2,14.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,4.2,0.0,38.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
201902,AE 2010,Jechiel Jagoda,B,56,3.08,44.6,25.0,10.7,10.7,1.8,0.0,0.0,0.0,0.0,7.1,0.0,25.0,14.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
201902,AE 2010,Narayanan Komerath,A,54,2.75,22.2,9.3,9.3,7.4,3.7,0.0,1.9,0.0,0.0,46.3,0.0,12.0,5.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,25.0,0.0
201902,AE 2010,Turab Zaidi,R,10,3.10,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201902,AE 2011,Jechiel Jagoda,B,2,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201902,AE 2011,Narayanan Komerath,A,2,2.00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
