Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
202008,ACCT 2101,Nicole Mackenzie,D,75.0,3.59,73.3,14.7,8.0,1.3,1.3,0.0,0.0,0.0,0.0,1.3,0.0,55.0,11.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202008,ACCT 2101,Nicole Mackenzie,E,74.0,3.50,64.9,16.2,9.5,4.1,0.0,1.4,0.0,0.0,0.0,4.1,0.0,48.0,12.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
202008,ACCT 2101,Katarzyna Rupar,B,75.0,3.36,45.3,44.0,6.7,0.0,1.3,1.3,0.0,0.0,0.0,1.3,0.0,34.0,33.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
202008,ACCT 2101,Katarzyna Rupar,C,75.0,3.36,50.7,30.7,13.3,1.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,23.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202008,ACCT 2102,Xi Kuang,B,70.0,3.80,82.9,11.4,4.3,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,58.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202008,ACCT 2102,Xi Kuang,C,72.0,3.63,68.1,22.2,6.9,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.0,49.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
202008,ACCT 2102,SUYUN WU,A,49.0,3.57,71.4,10.2,6.1,6.1,0.0,0.0,0.0,0.0,0.0,6.1,0.0,35.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202008,AE 1355,Carl Johnson,A,14.0,4.00,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202008,AE 1601,John Dec,C,46.0,3.80,82.6,13.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,38.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202008,AE 1601,Kelly Griendling,A,56.0,3.77,91.1,3.6,0.0,1.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
202008,AE 1601,Kelly Griendling,B,56.0,3.91,94.6,1.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.8,0.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202008,AE 2010,Stephen Ruffin,A,64.0,2.70,21.9,37.5,23.4,10.9,1.6,0.0,0.0,0.0,0.0,4.7,0.0,14.0,24.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
202008,AE 2010,Jerry Seitzman,B,55.0,2.96,27.3,30.9,27.3,1.8,0.0,0.0,0.0,0.0,0.0,12.7,0.0,15.0,17.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
202008,AE 2010,Turab Zaidi,R,5.0,3.40,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202008,AE 2010R,Stephen Ruffin,A,62.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0
202008,AE 2010R,Jerry Seitzman,B,37.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0
202008,AE 2011,Stephen Ruffin,A,3.0,3.00,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
