Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
201802,ACCT 2101,Deborah Turner,C,65,3.47,60.0,21.5,12.3,1.5,0.0,1.5,0.0,0.0,0.0,3.1,0.0,39.0,14.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
201802,ACCT 2101,Deborah Turner,D,65,3.68,73.8,20.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,ACCT 2101,Deborah Turner,E,64,3.76,79.7,12.5,3.1,1.6,0.0,0.0,0.0,0.0,0.0,3.1,0.0,51.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
201802,ACCT 2101,Shankar Venkataraman,A,55,3.43,45.5,32.7,3.6,0.0,1.8,5.5,0.0,0.0,0.0,10.9,0.0,25.0,18.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0
201802,ACCT 2101,Shankar Venkataraman,B,55,3.15,45.5,27.3,16.4,1.8,3.6,0.0,0.0,0.0,0.0,5.5,0.0,25.0,15.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
201802,ACCT 2102,Xi Kuang,A,58,3.06,34.5,29.3,24.1,0.0,1.7,0.0,0.0,0.0,0.0,10.3,0.0,20.0,17.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0
201802,ACCT 2102,Xi Kuang,B,40,3.00,35.0,32.5,15.0,10.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,14.0,13.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
201802,ACCT 2102,Xi Kuang,C,34,3.33,44.1,32.4,8.8,2.9,0.0,0.0,0.0,0.0,0.0,11.8,0.0,15.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
201802,AE 1355,Dimitrios Mavris,MAV,11,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,AE 1601,Kelly Griendling,A,45,3.95,91.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
201802,AE 1601,Narayanan Komerath,B,45,3.37,62.2,15.6,13.3,0.0,4.4,0.0,0.0,0.0,0.0,4.4,0.0,28.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
201802,AE 1601,Mitchell Walker,C,44,3.84,86.4,11.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,AE 2010,Aharon Karon,B,45,2.93,26.7,42.2,22.2,2.2,2.2,0.0,0.0,0.0,0.0,4.4,0.0,12.0,19.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
201802,AE 2010,Jerry Seitzman,A,58,2.49,12.1,39.7,27.6,5.2,6.9,0.0,0.0,0.0,0.0,8.6,0.0,7.0,23.0,16.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0
201802,AE 2010,Turab Zaidi,R,13,3.38,46.2,46.2,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,AE 2220,Dewey Hodges,A,58,2.08,17.2,17.2,19.0,20.7,12.1,0.0,0.0,0.0,0.0,13.8,0.0,10.0,10.0,11.0,12.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0
201802,AE 2220,Min-Feng Yu,B,54,2.69,20.4,40.7,22.2,5.6,5.6,0.0,0.0,0.0,0.0,5.6,0.0,11.0,22.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
201802,AE 2220,Turab Zaidi,R,29,3.38,44.8,48.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,AE 2355,Dimitrios Mavris,MAV,8,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
