Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
202105,ACCT 2101,Ryan Blunck,ES,33,3.61,78.8,6.1,3.0,0.0,6.1,0.0,0.0,3.0,0.0,3.0,0.0,26.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
202105,ACCT 2102,Arnold Schneider,LS,16,3.36,37.5,18.8,12.5,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
202105,AE 2010,Jechiel Jagoda,R,10,3.20,70.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2010,Turab Zaidi,A,24,2.55,16.7,33.3,25.0,16.7,0.0,0.0,0.0,0.0,0.0,8.3,0.0,4.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202105,AE 2010R,Turab Zaidi,A,25,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
202105,AE 2011,Turab Zaidi,A,1,3.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2220,Mayuresh Patil,A,21,3.28,42.9,28.6,9.5,4.8,0.0,0.0,0.0,0.0,0.0,14.3,0.0,9.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202105,AE 2220,Mayuresh Patil,R,6,3.50,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2220R,Mayuresh Patil,A,14,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
202105,AE 2221,Mayuresh Patil,A,3,2.33,0.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2610,Wenting Sun,A,36,3.91,88.9,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202105,AE 2611,Kelly Griendling,A,35,3.85,88.6,2.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,31.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202105,AE 2698,Dimitrios Mavris,MAV,1,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202105,AE 2699,Mark Costello,COS,1,3.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Tim Lieuwen,LIE,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Dimitrios Mavris,GTL,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Dimitrios Mavris,MAV,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Suresh Menon,MEN,2,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Julian Rimoli,RIM,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 2699,Adam Steinberg,STE,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,AE 3030,Narayanamoorthy Sankar,B,31,2.52,32.3,12.9,29.0,9.7,9.7,0.0,0.0,0.0,0.0,6.5,0.0,10.0,4.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
202105,AE 3030,Narayanamoorthy Sankar,RLI,14,2.85,42.9,7.1,35.7,0.0,7.1,0.0,0.0,0.0,0.0,7.1,0.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202105,AE 3030R,Narayanamoorthy Sankar,B,24,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
202105,AE 3140,George Kardomateas,B,40,3.58,72.5,10.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,29.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
202105,AE 3330,Joseph Saleh,A,20,3.37,65.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202105,AE 3330,Joseph Saleh,RLI,16,3.73,81.3,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,6.3,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
