Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
202302,ACCT 2101,Eric Condie,A,70.0,3.02,42.9,25.7,12.9,10.0,2.9,1.4,0.0,0.0,0.0,4.3,0.0,30.0,18.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0
202302,ACCT 2101,Eric Condie,B,70.0,3.23,47.1,25.7,15.7,2.9,1.4,0.0,0.0,0.0,0.0,7.1,0.0,33.0,18.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
202302,ACCT 2101,Marvin Tingler,D,68.0,3.20,44.1,27.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,30.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,ACCT 2101,Deborah Turner,C,69.0,3.46,62.3,18.8,17.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,43.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,ACCT 2102,Xi Kuang,A,68.0,3.50,60.3,25.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,41.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,ACCT 2102,Xi Kuang,B,75.0,3.60,62.7,29.3,2.7,1.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,47.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202302,ACCT 2102,Xi Kuang,C,74.0,3.58,63.5,31.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 1355,Carl Johnson,A,5.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 1601,John Dec,C,12.0,3.83,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 1601,Kelly Griendling,A,30.0,3.93,96.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 1601,Kelly Griendling,B,49.0,3.94,93.9,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2010,Mackenzie Lau,R,11.0,3.45,45.5,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2010,Pranay Seshadri,B,57.0,2.41,28.1,15.8,31.6,5.3,14.0,0.0,0.0,0.0,0.0,5.3,0.0,16.0,9.0,18.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0
202302,AE 2010,Turab Zaidi,A,90.0,3.31,45.6,40.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2010R,Mackenzie Lau,R,8.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
202302,AE 2010R,Pranay Seshadri,B,31.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
202302,AE 2010R,Turab Zaidi,A,93.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
202302,AE 2011,Pranay Seshadri,B,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2011,Turab Zaidi,A,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2220,FNU Chhavi,A,47.0,3.23,34.0,57.4,6.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2220,FNU Chhavi,Q3,20.0,3.80,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2220,Turab Zaidi,B,71.0,3.66,67.6,28.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,48.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 2220R,FNU Chhavi,A,37.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
202302,AE 2220R,FNU Chhavi,Q3,10.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
202302,AE 2220R,Turab Zaidi,B,59.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
202302,AE 2355,Carl Johnson,A,7.0,4.00,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 2610,Jechiel Jagoda,A,135.0,3.86,86.7,8.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,117.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202302,AE 2611,Jerry Seitzman,A,134.0,3.82,82.1,14.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.2,0.0,110.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
202302,AE 2698,Suresh Menon,MEN,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202302,AE 2699,Christopher Carr,CAR,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Karen Feigh,FEI,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Brian Gunter,GUN,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Koki Ho,HO,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Tim Lieuwen,LIE,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Edgar Lightsey,LIG,3.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Dimitrios Mavris,MAV,12.0,4.00,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 2699,Yi Mazumdar,MAZ,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Suresh Menon,MEN,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Joseph Oefelein,OEF,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,J Prasad,PRA,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Jonathan Rogers,ROG,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Alvaro Romero Calvo,ROM,9.0,3.75,77.8,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 2699,Narayanamoorthy Sankar,SAN,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 2699,Marilyn Smith,SMI,1.0,3.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 3030,Pui-Kuen Yeung,A,92.0,3.18,42.4,39.1,10.9,2.2,3.3,0.0,0.0,0.0,0.0,2.2,0.0,39.0,36.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,AE 3030R,Pui-Kuen Yeung,A,46.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
202302,AE 3140,George Kardomateas,B,71.0,3.14,53.5,15.5,8.5,5.6,7.0,0.0,0.0,0.0,0.0,9.9,0.0,38.0,11.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0
202302,AE 3140,Chance McColl,A,75.0,3.16,46.7,21.3,13.3,5.3,2.7,0.0,0.0,0.0,0.0,10.7,0.0,35.0,16.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0
202302,AE 3330,John Dec,A,79.0,3.38,44.3,39.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,35.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
202302,AE 3330,John Dec,B,30.0,3.07,36.7,30.0,23.3,3.3,0.0,0.0,0.0,0.0,0.0,6.7,0.0,11.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,AE 3340,Elena Garcia,A,105.0,3.87,87.6,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 3355,Carl Johnson,A,5.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 3530,Chance McColl,B,101.0,3.79,83.2,10.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 3530,Panagiotis Tsiotras,A,36.0,2.17,13.9,25.0,19.4,5.6,16.7,0.0,0.0,0.0,0.0,19.4,0.0,5.0,9.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0
202302,AE 3531,Kelly Griendling,A,71.0,3.80,80.3,15.5,0.0,1.4,0.0,0.0,0.0,0.0,0.0,2.8,0.0,57.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,AE 3610,Jechiel Jagoda,A,137.0,3.77,82.5,12.4,2.2,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,113.0,17.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
202302,AE 4132,Kai James,A,52.0,3.12,40.4,32.7,15.4,3.8,1.9,1.9,0.0,0.0,0.0,3.8,0.0,21.0,17.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
202302,AE 4220,Cristina Riso,A,27.0,3.22,40.7,25.9,14.8,3.7,0.0,3.7,0.0,0.0,0.0,11.1,0.0,11.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
202302,AE 4341,Neil Weston,A,25.0,3.42,48.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202302,AE 4341,Neil Weston,IP,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 4342,Alvaro Romero Calvo,A,77.0,3.92,92.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,AE 4343,Chance McColl,A,23.0,4.00,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
