Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
202205,ACCT 2101,Eric Condie,ES,23.0,3.82,78.3,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202205,AE 2010,Mackenzie Lau,R,8.0,3.63,62.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2010,Turab Zaidi,A,18.0,3.50,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2010R,Turab Zaidi,A,17.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
202205,AE 2011,Turab Zaidi,A,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2011R,Turab Zaidi,A,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202205,AE 2220,FNU Chhavi,A,11.0,3.44,36.4,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202205,AE 2220,Mackenzie Lau,R,8.0,3.50,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2220R,FNU Chhavi,A,6.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
202205,AE 2610,Wenting Sun,A,15.0,3.60,66.7,26.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2611,Kelly Griendling,A,14.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2698,Suresh Menon,MEN,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202205,AE 2699,Krishan Ahuja,AHU,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2699,Dimitrios Mavris,GTL,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2699,Dimitrios Mavris,MAV,5.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2699,Mitchell Walker,WAL,1.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 2801,Jason Wang,R,25.0,4.00,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202205,AE 3030,Narayanamoorthy Sankar,RLI,27.0,3.96,96.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3030,Pui-Kuen Yeung,B,17.0,3.07,41.2,11.8,35.3,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202205,AE 3030R,Pui-Kuen Yeung,B,11.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
202205,AE 3140,George Kardomateas,B,13.0,3.58,61.5,23.1,7.7,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202205,AE 3330,J Prasad,RLI,17.0,3.35,52.9,29.4,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3330,Michael Steffens,B,5.0,3.60,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3340,Elena Garcia,A,10.0,3.30,50.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3530,Chance McColl,A,23.0,3.64,69.6,17.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202205,AE 3530,J Prasad,RLI,34.0,3.24,44.1,38.2,14.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3531,Chance McColl,A,22.0,3.64,68.2,27.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 3531,Chance McColl,RLI,46.0,3.80,82.6,10.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,38.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202205,AE 4071,Chance McColl,RLI,3.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 4451,Jerry Seitzman,B,19.0,2.64,0.0,47.4,5.3,0.0,5.3,0.0,0.0,0.0,0.0,42.1,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0
202205,AE 4451,Jerry Seitzman,RLI,38.0,3.19,39.5,42.1,5.3,7.9,0.0,0.0,0.0,0.0,0.0,5.3,0.0,15.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202205,AE 4610,Stephen Ruffin,A,2.0,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202205,AE 4698,Christopher Carr,CAR,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202205,AE 4698,Claudio Di Leo,DIL,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202205,AE 4698,Brian German,GER,2.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
202205,AE 4698,Tim Lieuwen,LIE,1.0,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
